id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kelahiran,jenis_kelamin,jumlah_kelahiran,satuan,tahun
144,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,PEREMPUAN,16639,JIWA,2015
145,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,LAKI-LAKI,179,JIWA,2015
146,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,PEREMPUAN,107,JIWA,2015
147,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,LAKI-LAKI,9880,JIWA,2015
148,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,PEREMPUAN,10048,JIWA,2015
149,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,LAKI-LAKI,84,JIWA,2015
150,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,PEREMPUAN,68,JIWA,2015
151,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,LAKI-LAKI,10964,JIWA,2015
152,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,PEREMPUAN,11054,JIWA,2015
153,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,LAKI-LAKI,45,JIWA,2015
154,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,PEREMPUAN,36,JIWA,2015
155,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,LAKI-LAKI,11180,JIWA,2015
156,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,PEREMPUAN,11360,JIWA,2015
157,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,LAKI-LAKI,90,JIWA,2015
158,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,PEREMPUAN,40,JIWA,2015
159,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,LAKI-LAKI,10648,JIWA,2015
160,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,PEREMPUAN,10796,JIWA,2015
161,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,LAKI-LAKI,74,JIWA,2015
162,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,PEREMPUAN,45,JIWA,2015
163,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,LAKI-LAKI,18388,JIWA,2015
164,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,PEREMPUAN,18692,JIWA,2015
165,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,LAKI-LAKI,152,JIWA,2015
166,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,PEREMPUAN,90,JIWA,2015
167,32,JAWA BARAT,3213,KABUPATEN SUBANG,HIDUP,LAKI-LAKI,15527,JIWA,2015
168,32,JAWA BARAT,3213,KABUPATEN SUBANG,HIDUP,PEREMPUAN,15673,JIWA,2015
169,32,JAWA BARAT,3213,KABUPATEN SUBANG,MATI,LAKI-LAKI,73,JIWA,2015
170,32,JAWA BARAT,3213,KABUPATEN SUBANG,MATI,PEREMPUAN,72,JIWA,2015
171,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,LAKI-LAKI,10122,JIWA,2015
172,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,PEREMPUAN,10252,JIWA,2015
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,LAKI-LAKI,65,JIWA,2015
174,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,PEREMPUAN,35,JIWA,2015
175,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HIDUP,LAKI-LAKI,26621,JIWA,2015
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HIDUP,PEREMPUAN,27828,JIWA,2015
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MATI,LAKI-LAKI,74,JIWA,2015
178,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MATI,PEREMPUAN,88,JIWA,2015
179,32,JAWA BARAT,3216,KABUPATEN BEKASI,HIDUP,LAKI-LAKI,48347,JIWA,2015
180,32,JAWA BARAT,3216,KABUPATEN BEKASI,HIDUP,PEREMPUAN,48445,JIWA,2015
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,MATI,LAKI-LAKI,49,JIWA,2015
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,MATI,PEREMPUAN,45,JIWA,2015
183,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,LAKI-LAKI,14760,JIWA,2015
184,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,PEREMPUAN,14926,JIWA,2015
185,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,LAKI-LAKI,83,JIWA,2015
186,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,PEREMPUAN,64,JIWA,2015
187,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,LAKI-LAKI,3060,JIWA,2015
188,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,PEREMPUAN,3134,JIWA,2015
189,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,LAKI-LAKI,37,JIWA,2015
190,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,PEREMPUAN,35,JIWA,2015
191,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,LAKI-LAKI,9461,JIWA,2015
192,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,PEREMPUAN,9551,JIWA,2015
193,32,JAWA BARAT,3271,KOTA BOGOR,MATI,LAKI-LAKI,45,JIWA,2015
194,32,JAWA BARAT,3271,KOTA BOGOR,MATI,PEREMPUAN,12,JIWA,2015
195,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,LAKI-LAKI,3197,JIWA,2015
196,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,PEREMPUAN,3219,JIWA,2015
197,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,LAKI-LAKI,11,JIWA,2015
198,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,PEREMPUAN,13,JIWA,2015
199,32,JAWA BARAT,3273,KOTA BANDUNG,HIDUP,LAKI-LAKI,23431,JIWA,2015
200,32,JAWA BARAT,3273,KOTA BANDUNG,HIDUP,PEREMPUAN,23599,JIWA,2015
201,32,JAWA BARAT,3273,KOTA BANDUNG,MATI,LAKI-LAKI,84,JIWA,2015
202,32,JAWA BARAT,3273,KOTA BANDUNG,MATI,PEREMPUAN,12,JIWA,2015
203,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,LAKI-LAKI,2802,JIWA,2015
204,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,PEREMPUAN,2834,JIWA,2015
205,32,JAWA BARAT,3274,KOTA CIREBON,MATI,LAKI-LAKI,16,JIWA,2015
206,32,JAWA BARAT,3274,KOTA CIREBON,MATI,PEREMPUAN,6,JIWA,2015
207,32,JAWA BARAT,3275,KOTA BEKASI,HIDUP,LAKI-LAKI,29003,JIWA,2015
208,32,JAWA BARAT,3275,KOTA BEKASI,HIDUP,PEREMPUAN,29111,JIWA,2015
209,32,JAWA BARAT,3275,KOTA BEKASI,MATI,LAKI-LAKI,54,JIWA,2015
210,32,JAWA BARAT,3275,KOTA BEKASI,MATI,PEREMPUAN,28,JIWA,2015
211,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,LAKI-LAKI,19742,JIWA,2015
212,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,PEREMPUAN,20444,JIWA,2015
213,32,JAWA BARAT,3276,KOTA DEPOK,MATI,LAKI-LAKI,25,JIWA,2015
214,32,JAWA BARAT,3276,KOTA DEPOK,MATI,PEREMPUAN,10,JIWA,2015
215,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,LAKI-LAKI,5207,JIWA,2015
216,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,PEREMPUAN,5313,JIWA,2015
217,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,LAKI-LAKI,53,JIWA,2015
218,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,PEREMPUAN,26,JIWA,2015
219,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,LAKI-LAKI,6215,JIWA,2015
220,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,PEREMPUAN,6299,JIWA,2015
221,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,LAKI-LAKI,42,JIWA,2015
222,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,PEREMPUAN,39,JIWA,2015
223,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,61375,JIWA,2016
224,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,63405,JIWA,2016
225,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,95,JIWA,2016
226,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,113,JIWA,2016
227,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,LAKI-LAKI,24045,JIWA,2016
228,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,PEREMPUAN,22611,JIWA,2016
229,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,LAKI-LAKI,36,JIWA,2016
230,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,PEREMPUAN,25,JIWA,2016
231,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,LAKI-LAKI,32245,JIWA,2016
232,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,PEREMPUAN,30521,JIWA,2016
233,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,LAKI-LAKI,45,JIWA,2016
234,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,PEREMPUAN,33,JIWA,2016
235,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,LAKI-LAKI,28656,JIWA,2016
236,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,PEREMPUAN,27521,JIWA,2016
237,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,LAKI-LAKI,103,JIWA,2016
238,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,PEREMPUAN,126,JIWA,2016
239,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,LAKI-LAKI,15507,JIWA,2016
240,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,PEREMPUAN,15479,JIWA,2016
241,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,LAKI-LAKI,109,JIWA,2016
242,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,PEREMPUAN,104,JIWA,2016
243,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,LAKI-LAKI,9648,JIWA,2016
244,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,PEREMPUAN,8782,JIWA,2016
245,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,LAKI-LAKI,92,JIWA,2016
246,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,PEREMPUAN,63,JIWA,2016
247,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,LAKI-LAKI,10319,JIWA,2016
248,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,PEREMPUAN,9574,JIWA,2016
249,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,LAKI-LAKI,52,JIWA,2016
250,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,PEREMPUAN,33,JIWA,2016
251,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,LAKI-LAKI,10857,JIWA,2016
